ID,Profile,Fullname,"Avatar link",Content,"Created on","Digital Entities"
57043940249,facebook,http://fb.com/57043940249_405322926219842,"Meredith Rowlen Photography",https://graph.facebook.com/57043940249_405322926219842/picture,"I'm actually sticking to my promise to myself to take a picture a day AND blog it.. Shout out to my amazing website & blog designer Rachel Varner Nielsen for getting my 365 blog running. xoxo Meredith ",2013-01-14T02:33:00+0000,http://meredithrowlen.com/2013/01/14/meredith-rowlen-photography-365-blog-january-13-2013/
152008308152835,facebook,http://fb.com/152008308152835_519703231383339,"Tabbys avon and Deals",https://graph.facebook.com/152008308152835_519703231383339/picture,"Have You Tried for Nielsen Homescan  Yet Today New Zips Codes Added Every Week 3 People Got Accepted Last Week Wooo Hooo Let Me Know If Yo Get In http://www.tabbyspantry.com/nielsen-homescan.html",2013-01-14T02:30:31+0000,
100003874525636,facebook,http://fb.com/100003874525636_204759572996525,"Anunayana G Dwaram",https://graph.facebook.com/100003874525636_204759572996525/picture,"Chetan Bhagat’ s Article in TOI this month : Specially for Indian Women. Do Read it and share it with all the women you know..

Alright, this is not cool at all. A recent survey by Nielsen has revealed that Indian women are the most stressed out in the world: 87% of our women feel stressed out most of the time. This statistic alone has caused me to stress out. Even in workaholic America, only 53% women feel stressed.

What are we doing to our women? I'm biased, but Indian women are the most beautiful in the world. As mothers, sisters, daughters, colleagues, wives and girlfriends - we love them. Can you imagine life without the ladies?

For now, i want to give Indian women five suggestions to reduce their stress levels.

One, don't ever think you are without power. Give it back to that mother-in-law. Be who you are, not someone she wished you would be. She doesn't like you? That's her problem.

Two, if you are doing a good job at work and your boss doesn't value you -tell him that, or quit. Talented, hard-working people are much in demand.

Three, educate yourself, learn skills, network - figure out ways to be economically independent. So next time your husband tells you that you are not a good enough wife, mother or daughter-in-law, you can tell him to take a hike.

Four, do not ever feel stressed about having a dual responsibility of family and work. It is difficult, but not impossible. The trick is not to expect an A+ in every aspect of your life. You are not taking an exam, and you frankly can't score cent per cent (unless you are in SRCC, of course). It is okay if you don't make four dishes for lunch, one can fill their stomach with one. It is okay if you don't work until midnight and don't get a promotion. Nobody remembers their job designation on their dying day.

Five, most important, don't get competitive with other women. Someone will make a better scrapbook for her school project than you. Another will lose more weight with a better diet. Your neighbor may make a six-dabba tiffin for her husband, you don't - big deal. Do your best, but don't keep looking out for the report card, and definitely don't expect to top the class. There is no ideal woman in this world, and if you strive to become one, there will be only one thing you will achieve for certain - stress.

So breathe, chill, relax. Tell yourself you are beautiful, do your best and deserve a peaceful life. Anybody trying to take that away from you is making a mistake, not you. Your purpose of coming to this earth is not to please everyone. Your purpose is to offer what you have to the world, and have a good life in return. The next time this survey comes, i don't want to see Indian women on top of the list. I want them to be the happiest women in the world.

Cherish Womanhood!!

But don't forget your life changing Man :-)",2013-01-14T02:28:08+0000,
100001831274956,facebook,http://fb.com/100001831274956_429132100491162,"Ridwan Asrapi",https://graph.facebook.com/100001831274956_429132100491162/picture,"Mules gara' banyak makan Nielsen :&",2013-01-14T02:27:32+0000,
482175438469945,facebook,http://fb.com/482175438469945_512322195455269,"Eagle Valley Wrestling",https://graph.facebook.com/482175438469945_512322195455269/picture,"Saturday, January 12th.  EVHS Wrestling invitational update.
The Devils tie for second with Hotchkiss in the varsity tournament.  The Meeker Cowboys took first place.  The Devils had a pretty decent day, after a long Christmas break.  Chris Comroe placed 2nd at 120 lbs.  Raffa Gurule placed fourth at 126 lbs.  Jay Neal was one win away from placing.  He had two victories in his first-ever varsity wrestling experience.  Riley Rowles was fierce at 152 lbs, placing third.  He set a record for the Devils for most takedowns.  160 pound Andrew Vigil had the fastest pinfall of the day, but did not place.  Cole Nielsen placed 2nd at 170 pounds.  Sophomore Devin Ward won 2 matches at 170 pounds, but did not place.  Joey Sanchez injury withdrew from the tournament at 182 pounds after winning his first match.  Ty LaFramboise (195) and Andy Armstrong (220) each won their respective weight classes by pinning all of their opponents.  Davey Madrid and Xavier menoza wrestled for the varsity but did not place.   The Devils would like to thank everyone who volunteered their time to make the event successful.",2013-01-14T02:27:28+0000,
193306026,facebook,http://fb.com/193306026_358111020953796,"Nelson Claros",https://graph.facebook.com/193306026_358111020953796/picture,"John Bennight Nielsen Guilherme Oliveira",2013-01-14T02:26:20+0000,http://youtu.be/rKkZ3hkDF4w
100003753401041,facebook,http://fb.com/100003753401041_234766849991760,"Pia Diedrichsen Nissen",https://graph.facebook.com/100003753401041_234766849991760/picture,"Jeg vil gå ind og finde min dejlige dyne.... Anni S. Nielsen tak fordi du er så dejlig. Det er altid skønt at du er lige der ",2013-01-14T02:23:52+0000,
274457135925254,facebook,http://fb.com/274457135925254_155043457977166,"Hoje um sonho, amanhã nossa realidade",https://graph.facebook.com/274457135925254_155043457977166/picture,"curtam ---> Sobre Tudo no face & Um Jeito de Ser Feliz",2013-01-14T02:21:49+0000,http://www.facebook.com/photo.php?fbid=464386646944105&set=a.388770531172384.78670.388740197842084&type=1
248798685246725,facebook,http://fb.com/248798685246725_275013652625228,"Adrian Mierzejewski",https://graph.facebook.com/248798685246725_275013652625228/picture,"İşte ilginç futbol rekorları…

* Jübile maçında kendi kalesine gol atan tek futbolcu Franz Beckenbauer.

* Efsane İngiliz futbolcu Gary Lineker, yaklaşık 20 yıl süren kariyerinde bir tek sarı kart bile görmedi.

* 2000-2001 sezonunda Bristol City-Brendford maçının ilk yarısında 23 dakika kaybolan zaman oynandı ve bu süre içinde 2 gol atıldı. Aynı maçta Bristol’un golcüsü Lloyd Owusu’nun ayağı kırıldı ve omzu çıktı.

* Paulo Araujo aynı maçta 5 kez kart görerek rekor kırdı. Olayın nedeni, oyundan atılan Brezilyalı futbolcunun dalgın hakeme fark ettirmeden maça devam etmesiydi.

* İngiltere maçında 3. dakikada kendi kalesine gol atan Paraguaylı Carlos Gamarra, ‘Kendi kalesine en erken gol atan futbolcu’ olarak tarihe geçti.

* 1957 yılında Charlton, 75 dakika 10 kişi oynadığı ve son yarım saatine 5-1 mağlup girdiği Huddersfield maçını 7-6 kazandı.

* Willenhall Town Ladies-Burton Brewers maçı, Guinness Rekorlar Kitabı’na girdi. Ortalama her 1,5 dakikada 1 gol atan Willenhall Town, maçı 57-0 kazandı.

* Finlandiya’nın unutulmaz oyuncularından Pentti, 1986′da kendi kalesine 5 gol attı. Maçtan sonra takım arkadaşları tarafından Pentti’ye ‘pusula’ bile alındı.

* 27 takım değiştiren Lutz Pfannenstiel, 6 kıtada da top oynayan tek futbolcu oldu. 34 yaşındaki Alman kaleci, halen Clube Atlético Hermann Aichinger’de forma giyiyor.

* Kullandığı 63 penaltıdan 16’sını gole çeviremeyen Gerd Müller, ‘Dünyanın en çok penaltı kaçıran’ futbolcusu oldu.

* Trabzonspor, 1979-80 sezonunda 30 maçta kaydettiği 25 golle(0.833 gol ortalaması) ‘Dünyanın en negatif şampiyonu’ unvanını elde etti.
* Profesyonel sözleşmeye imza atıp, ‘En uzun süre oynamayan futbolcu’ eski Liverpool kalecisi Jorgen Nielsen olarak kayıtlara geçti. Hvidovre’den 26 yaşında transfer edilen file bekçisi, tam 4 yıl, 11 ay forma giymedi.",2013-01-14T02:21:34+0000,
1251733426,facebook,http://fb.com/1251733426_4055545947637,"Atilio Escobar",https://graph.facebook.com/1251733426_4055545947637/picture,"Bass Face Sundays W/ Dj 40oz. & Friends! 
dj this evening include:
dj Jason AudioBot Turner
dj Glen Fernandez
dj Don PapaBear
dj gonzo x aka Derek Doker
dj vrb aka Scott Nielsen
dj high five ghost aka Christopher Gibson
BE PREPARED!!",2013-01-14T02:20:12+0000,
290648323029868544,twitter,http://twitter.com/WJMcKinney,"William McKinney",http://a0.twimg.com/profile_images/1132613633/wjmckinney_normal.jpg,"RT @<a class="" "" href=""https://twitter.com/Vstatenews"">Vstatenews</a>: <a target=""_blank"" href=""http://search.twitter.com/search?q=%23ValdostaState"" title=""#ValdostaState"" class="" "">#ValdostaState</a> Professor Eric <em>Nielsen</em> travels the world to Shangri-La @<a class="" "" href=""https://twitter.com/VDT"">VDT</a> <a target=""_blank"" href=""http://t.co/LVkuDuPx"">http://t.co/LVkuDuPx</a>",2013-01-14T02:35:34Z,
290648300061880320,twitter,http://twitter.com/mcclure111,mcc,http://a0.twimg.com/profile_images/3100728983/979c2ad3cd4d8d772615e2083a9f72df_normal.png,"RT @<a class="" "" href=""https://twitter.com/ellaguro"">ellaguro</a>: here's some mysterious jazz for you <a target=""_blank"" href=""http://t.co/kjpO0z1g"">http://t.co/kjpO0z1g</a>",2013-01-14T02:35:29Z,
290648227961774082,twitter,http://twitter.com/nielsen_lauren,"Lauren Nielsen",http://a0.twimg.com/profile_images/2892036321/c0ae77f248c142a6221a047080fb5782_normal.jpeg,"RT @<a class="" "" href=""https://twitter.com/BitchhTFM"">BitchhTFM</a>: <a target=""_blank"" href=""http://search.twitter.com/search?q=%23IfWeDated"" title=""#IfWeDated"" class="" "">#IfWeDated</a> we will do these things. <a target=""_blank"" href=""http://t.co/LOsHQRVX"">http://t.co/LOsHQRVX</a>",2013-01-14T02:35:12Z,
290648183909011456,twitter,http://twitter.com/shaanjus4u,"Shankar Balachandran",http://a0.twimg.com/profile_images/2822797828/1bb74a5dfd2d943e372e262e245daf35_normal.jpeg,"Jakob <em>Nielsen</em> is not your Windows 8 Guru heres why. <a target=""_blank"" href=""http://t.co/rEiQddka"">http://t.co/rEiQddka</a>",2013-01-14T02:35:01Z,
290648162635485185,twitter,http://twitter.com/DoucheByTrade,"Art Vandelay",http://a0.twimg.com/profile_images/3100150570/4e358ed4004978d4bc50cf4920071c0a_normal.png,"all they need is Bridgette <em>Nielsen</em> next to them.",2013-01-14T02:34:56Z,
290648158730596352,twitter,http://twitter.com/easyKiesy,"j kies",http://a0.twimg.com/profile_images/2696864594/cd5467503997d3d5d92b6ce285016c15_normal.jpeg,"@<a class="" "" href=""https://twitter.com/AlecLinden"">AlecLinden</a> @<a class="" "" href=""https://twitter.com/LUKEatmenoow"">LUKEatmenoow</a> @<a class="" "" href=""https://twitter.com/Zach_"">Zach_</a><em>Nielsen</em> just laughed my balls off",2013-01-14T02:34:55Z,
290648114723966977,twitter,http://twitter.com/easyKiesy,"j kies",http://a0.twimg.com/profile_images/2696864594/cd5467503997d3d5d92b6ce285016c15_normal.jpeg,"RT @<a class="" "" href=""https://twitter.com/LUKEatmenoow"">LUKEatmenoow</a>: Hahaha great weekend with the boys @<a class="" "" href=""https://twitter.com/Zach_"">Zach_</a><em>Nielsen</em> @<a class="" "" href=""https://twitter.com/easyKiesy"">easyKiesy</a> @<a class="" "" href=""https://twitter.com/AlecLinden"">AlecLinden</a> <a target=""_blank"" href=""http://t.co/L26x5imr"">http://t.co/L26x5imr</a>",2013-01-14T02:34:45Z,
290647789359202306,twitter,http://twitter.com/Hayley_cheyanne,"Hayley ",http://a0.twimg.com/profile_images/3002219229/e5bbc7793d228c24c8a93371f368e180_normal.jpeg,"<a target=""_blank"" href=""http://search.twitter.com/search?q=%23IGotAThingFor"" title=""#IGotAThingFor"" class="" "">#IGotAThingFor</a> @<em>nielsen</em>_austin ❤**",2013-01-14T02:33:27Z,
290647605015371776,twitter,http://twitter.com/rashel_nielsen,"Rachel Nielsen",http://a0.twimg.com/profile_images/3031810040/0db369e367992f7e39d18dd372a9bc56_normal.jpeg,"Hey Stephen I know looks can be deceivin",2013-01-14T02:32:43Z,
290647445589860352,twitter,http://twitter.com/K_R_Nielsen,"Kyle Nielsen♕",http://a0.twimg.com/profile_images/2812875391/39fd541daf7c356850decc929500664e_normal.jpeg,"@<a class="" "" href=""https://twitter.com/BeccaFierce2"">BeccaFierce2</a> Oh you know, same old same old.",2013-01-14T02:32:05Z,
290646960510210048,twitter,http://twitter.com/BrittG_staff,"Britt Grindstaff",http://a0.twimg.com/profile_images/3061458098/fec3f065371a19624b89eca0832ab0de_normal.jpeg,"RT @<a class="" "" href=""https://twitter.com/rashel_"">rashel_</a><em>nielsen</em>: ""@<a class="" "" href=""https://twitter.com/LydDelcourt"">LydDelcourt</a>: “@<a class="" "" href=""https://twitter.com/BrittG_staff"">BrittG_staff</a>: Pretty knees are for wimps. @<a class="" "" href=""https://twitter.com/rashel_"">rashel_</a><em>nielsen</em> @<a class="" "" href=""https://twitter.com/LydDelcourt"">LydDelcourt</a>” And elbows! <a target=""_blank"" href=""http://search.twitter.com/search?q=%23vballprobs"" title=""#vballprobs"" class="" "">#vballprobs</a>"" hips",2013-01-14T02:30:10Z,
290646785989414913,twitter,http://twitter.com/BeccaFierce2,"Becca Roberts",http://a0.twimg.com/profile_images/3070676056/33b26a78e1b69d9686d6dd020e4dc832_normal.jpeg,"@<a class="" "" href=""https://twitter.com/K_R_"">K_R_</a><em>Nielsen</em> how you doin ;) ;)",2013-01-14T02:29:28Z,
290646721602658304,twitter,http://twitter.com/brody_nielsen,"☆★ Brody_Nielsen★☆",http://a0.twimg.com/profile_images/3105744400/12b1e4078ac102e61df1a3cf1ed28a33_normal.jpeg,"@<a class="" "" href=""https://twitter.com/ContentFootwork"">ContentFootwork</a> @<a class="" "" href=""https://twitter.com/kylieolsen"">kylieolsen</a> oh I will take care of her! :)",2013-01-14T02:29:13Z,
290646422032896000,twitter,http://twitter.com/BeccaFierce2,"Becca Roberts",http://a0.twimg.com/profile_images/3070676056/33b26a78e1b69d9686d6dd020e4dc832_normal.jpeg,"“@<a class="" "" href=""https://twitter.com/K_R_"">K_R_</a><em>Nielsen</em>: <a target=""_blank"" href=""http://search.twitter.com/search?q=%23IGotAThingFor"" title=""#IGotAThingFor"" class="" "">#IGotAThingFor</a> Girls with enough balls to say hello. If you want something. Go get it” HELLLOOOO",2013-01-14T02:28:01Z,
290646362700271616,twitter,http://twitter.com/LydDelcourt,"Lydia Delcourt",http://a0.twimg.com/profile_images/3074954667/dff66890a6ea8882545978738b6e558d_normal.jpeg,"RT @<a class="" "" href=""https://twitter.com/rashel_"">rashel_</a><em>nielsen</em>: ""@<a class="" "" href=""https://twitter.com/LydDelcourt"">LydDelcourt</a>: “@<a class="" "" href=""https://twitter.com/BrittG_staff"">BrittG_staff</a>: Pretty knees are for wimps. @<a class="" "" href=""https://twitter.com/rashel_"">rashel_</a><em>nielsen</em> @<a class="" "" href=""https://twitter.com/LydDelcourt"">LydDelcourt</a>” And elbows! <a target=""_blank"" href=""http://search.twitter.com/search?q=%23vballprobs"" title=""#vballprobs"" class="" "">#vballprobs</a>"" hips",2013-01-14T02:27:47Z,
